"","Datum","Zeit","X","Y"
"473","03/11/2021",NA,380555.705934071,5426748.85111627
"474","05/11/2021",NA,377083.215299187,5432072.76138763
"475","05/11/2021",NA,375978.298759518,5433156.12702092
"476","06/11/2021","17:45:00",385955.047207803,5419588.72918762
"477","06/11/2021",NA,371202.751974394,5437992.95160839
"478","08/11/2021","17:40:00",384646.778440733,5418665.98676689
"479","08/11/2021","19:40:00",394954.176053424,5414945.60855431
"480","09/11/2021",NA,380769.979567036,5427523.82985379
"481","09/11/2021",NA,381609.091295136,5429463.16724804
"482","10/11/2021","17:20:00",384646.778440733,5418665.98676689
"483","11/11/2021","00:34:00",374858.240488645,5435653.62966129
"484","11/11/2021","00:35:00",374803.355469953,5435618.16855464
"485","11/11/2021","18:30:00",383544.986511868,5419679.32280701
"486","12/11/2021",NA,373749.071844279,5436307.1764103
"487","14/11/2021",NA,379916.366000788,5430151.23225116
"488","14/11/2021",NA,379916.366000788,5430151.23225116
"489","14/11/2021",NA,379916.366000788,5430151.23225116
"490","15/11/2021","00:28:00",385273.364241037,5421290.38877345
"491","15/11/2021","00:28:00",385273.364241037,5421290.38877345
"492","15/11/2021","00:28:00",385273.364241037,5421290.38877345
"493","15/11/2021","00:28:00",385273.364241037,5421290.38877345
"494","15/11/2021","00:36:00",374826.704019062,5435648.78142271
"495","15/11/2021","16:45:00",384646.778440733,5418665.98676689
"496","16/11/2021",NA,377539.38645595,5434315.85704495
"497","16/11/2021",NA,377539.38645595,5434315.85704495
"498","16/11/2021",NA,377539.38645595,5434315.85704495
"499","19/11/2021","00:31:00",377327.179957181,5421053.98242247
"500","19/11/2021","00:31:00",377327.179957181,5421053.98242247
"501","19/11/2021","00:35:00",374822.509062028,5435463.1451466
"502","19/11/2021","00:35:00",374822.509062028,5435463.1451466
"503","19/11/2021","00:35:00",374822.509062028,5435463.1451466
"504","19/11/2021","00:35:00",374822.509062028,5435463.1451466
"505","19/11/2021","00:36:00",374822.509062028,5435463.1451466
"506","19/11/2021","00:36:00",374822.509062028,5435463.1451466
"507","19/11/2021","00:36:00",374822.509062028,5435463.1451466
"508","19/11/2021","00:36:00",374822.509062028,5435463.1451466
"509","19/11/2021","00:36:00",374799.905888276,5435594.89111269
"510","19/11/2021","00:36:00",374799.905888276,5435594.89111269
"511","20/11/2021",NA,386814.367244979,5417840.41341624
"512","23/11/2021","16:49:00",393002.452783774,5415516.47855505
"513","23/11/2021","16:50:00",395305.775154768,5415234.2244841
"514","24/11/2021","08:00:00",390762.653928663,5415775.20532385
"515","24/11/2021","08:00:00",390762.653928663,5415775.20532385
"516","24/11/2021","08:00:00",390762.653928663,5415775.20532385
"517","24/11/2021","08:00:00",390762.653928663,5415775.20532385
"518","24/11/2021",NA,381224.418588073,5420631.36109574
"519","24/11/2021",NA,377674.528438067,5420688.23613624
"520","25/11/2021","16:30:00",394237.915503861,5418862.88605522
"521","25/11/2021",NA,378676.261816643,5423375.39939118
"522","26/11/2021","00:30:00",380088.769754392,5420911.4949894
"523","26/11/2021","00:30:00",380088.769754392,5420911.4949894
"524","27/11/2021","17:00:00",386577.917703268,5419656.73889512
"525","28/11/2021","17:00:00",384679.516442036,5419432.627314
"526","28/11/2021","17:00:00",384679.516442036,5419432.627314
"527","28/11/2021",NA,378676.261816643,5423375.39939118
"528","29/11/2021","17:00:00",386583.48385149,5419642.16893184
"529","29/11/2021",NA,375527.303197082,5435700.83517502
"530","30/11/2021",NA,374245.094221618,5435237.10759516
"531","30/11/2021",NA,374245.094221618,5435237.10759516
"532","30/11/2021",NA,378994.273473193,5432750.27507377
"533","01/12/2021",NA,381224.418588073,5420631.36109574
"534","01/12/2021",NA,374069.064485125,5434953.05496062
"535","01/12/2021",NA,377230.168088329,5431311.02938422
"536","01/12/2021",NA,377230.168088329,5431311.02938422
"537","02/12/2021","16:20:00",394197.740233736,5418947.15966543
"538","02/12/2021",NA,378676.261816643,5423375.39939118
"539","02/12/2021",NA,377294.606321449,5432867.70619619
"540","03/12/2021","00:31:00",373762.20259802,5436370.27088822
"541","03/12/2021","00:31:00",373762.20259802,5436370.27088822
"542","03/12/2021","00:31:00",373762.20259802,5436370.27088822
"543","03/12/2021","16:10:00",395305.775154768,5415234.2244841
"544","03/12/2021","16:10:00",395305.775154768,5415234.2244841
"545","03/12/2021","16:40:00",384679.516442036,5419432.627314
"546","03/12/2021","17:00:00",386959.692058398,5418896.1228212
"547","03/12/2021","17:10:00",384646.778440733,5418665.98676689
"548","03/12/2021",NA,377713.505650744,5421528.13614499
"549","03/12/2021",NA,373758.896478543,5436321.41068082
"550","04/12/2021","00:39:00",378640.356038464,5431613.63331207
"551","04/12/2021","00:39:00",378640.356038464,5431613.63331207
"552","06/12/2021","17:00:00",392813.507536259,5415492.08628291
"553","06/12/2021",NA,388369.031163859,5417498.78506581
"554","06/12/2021",NA,388369.031163859,5417498.78506581
"555","07/12/2021","07:30:00",394443.304366524,5417053.90184705
"556","07/12/2021","07:30:00",394443.304366524,5417053.90184705
"557","07/12/2021","07:30:00",394443.304366524,5417053.90184705
"558","07/12/2021","17:10:00",395009.335011784,5414992.60696503
"559","07/12/2021",NA,386632.682133793,5418854.95298502
"560","07/12/2021",NA,375544.959541632,5435705.9992146
"561","07/12/2021",NA,374231.26440164,5435239.64588206
"562","07/12/2021",NA,374243.633138247,5435237.14076197
"563","07/12/2021",NA,374565.955074339,5435139.74810548
"564","07/12/2021",NA,375544.959541632,5435705.9992146
"565","08/12/2021","00:59:00",383016.212826358,5422555.10649709
"566","08/12/2021",NA,375579.543031908,5434837.74089983
"567","08/12/2021",NA,376339.056412189,5432972.3487439
"568","08/12/2021",NA,373752.044132408,5436309.33299525
"569","09/12/2021","00:38:00",386823.305346513,5419650.63283988
"570","09/12/2021","00:38:00",386823.305346513,5419650.63283988
"571","09/12/2021","16:20:00",384524.641868533,5419032.82779395
"572","09/12/2021","16:40:00",384695.356886414,5419454.31795246
"573","09/12/2021",NA,374243.633138247,5435237.14076197
"574","10/12/2021",NA,378262.965476936,5423065.25610655
"575","10/12/2021",NA,371389.524986945,5439427.78999113
"576","10/12/2021",NA,377113.948525633,5432007.57628125
"577","11/12/2021","00:34:00",378324.217892335,5431571.62637138
"578","11/12/2021","00:34:00",378324.217892335,5431571.62637138
"579","11/12/2021","00:34:00",378324.217892335,5431571.62637138
"580","11/12/2021","00:34:00",378324.217892335,5431571.62637138
"581","11/12/2021","00:34:00",378324.217892335,5431571.62637138
"582","11/12/2021","00:37:00",378229.622837415,5431526.99307232
"583","11/12/2021","17:00:00",386577.917703268,5419656.73889512
"584","11/12/2021","17:10:00",393134.860680342,5414427.74752543
"585","11/12/2021","17:10:00",393134.860680342,5414427.74752543
"586","13/12/2021","16:45:00",390820.465634642,5415731.48278778
"587","13/12/2021",NA,384789.54062863,5419720.15129011
"588","13/12/2021",NA,375527.303197082,5435700.83517502
"589","15/12/2021","00:40:00",374996.765840988,5435541.51002021
"590","15/12/2021",NA,374005.433273275,5435015.67086094
"591","15/12/2021",NA,379912.45995492,5430173.55903335
"592","16/12/2021",NA,378262.965476936,5423065.25610655
"593","17/12/2021","00:59:00",383016.212826358,5422555.10649709
"594","17/12/2021","00:59:00",383016.212826358,5422555.10649709
"595","17/12/2021",NA,383016.212826358,5422555.10649709
"596","17/12/2021",NA,383016.212826358,5422555.10649709
"597","17/12/2021",NA,383016.212826358,5422555.10649709
"598","17/12/2021",NA,377122.892474017,5432015.16305507
"599","17/12/2021",NA,373755.219139521,5436320.38233707
"600","18/12/2021",NA,376233.27258393,5434358.22074956
"601","18/12/2021",NA,376233.27258393,5434358.22074956
"602","19/12/2021","00:29:00",387411.464629283,5418727.94898285
"603","20/12/2021","00:39:00",383016.212826358,5422555.10649709
"604","20/12/2021",NA,375544.959541632,5435705.9992146
"605","20/12/2021",NA,374565.955074339,5435139.74810548
"606","20/12/2021",NA,372237.305369698,5438849.82811218
"607","21/12/2021","08:00:00",394447.659618058,5417051.59536801
"608","21/12/2021","08:00:00",394447.659618058,5417051.59536801
"609","22/12/2021","15:30:00",384662.681482681,5418655.20405587
"610","22/12/2021","19:00:00",384662.681482681,5418655.20405587
"611","22/12/2021","20:30:00",369056.080366442,5440237.72153378
"612","22/12/2021",NA,378913.505513053,5423809.5106452
"613","23/12/2021","00:30:00",387411.464629283,5418727.94898285
"614","23/12/2021","17:00:00",393098.940312853,5414428.88082419
"615","27/12/2021","16:20:00",385954.944739506,5419583.72707187
"616","27/12/2021","16:50:00",392943.210468054,5415524.84394891
"617","27/12/2021","16:55:00",385954.944739506,5419583.72707187
"618","27/12/2021","17:00:00",390779.840303589,5415754.07400739
"619","27/12/2021","17:00:00",386959.692058398,5418896.1228212
"620","27/12/2021","20:15:00",369056.080366442,5440237.72153378
"621","27/12/2021",NA,388369.031163859,5417498.78506581
"622","28/12/2021","00:30:00",373762.20259802,5436370.27088822
"623","29/12/2021","00:34:00",383016.212826358,5422555.10649709
"624","29/12/2021","00:34:00",383016.212826358,5422555.10649709
"625","29/12/2021","00:34:00",383016.212826358,5422555.10649709
"626","29/12/2021","00:34:00",383016.212826358,5422555.10649709
"627","29/12/2021","00:34:00",383016.212826358,5422555.10649709
"628","29/12/2021","00:34:00",383016.212826358,5422555.10649709
"629","29/12/2021","00:36:00",374822.509062028,5435463.1451466
"630","29/12/2021","00:36:00",374822.509062028,5435463.1451466
"631","29/12/2021","00:36:00",374822.509062028,5435463.1451466
"632","29/12/2021","00:36:00",374822.509062028,5435463.1451466
"633","29/12/2021","00:37:00",377880.811006981,5431097.59512873
"634","29/12/2021","00:37:00",377880.811006981,5431097.59512873
"635","29/12/2021","00:37:00",377880.811006981,5431097.59512873
"636","29/12/2021","00:37:00",377880.811006981,5431097.59512873
"637","29/12/2021","00:37:00",377880.811006981,5431097.59512873
"638","29/12/2021","00:37:00",374822.509062028,5435463.1451466
"639","29/12/2021","00:38:00",374822.509062028,5435463.1451466
"640","29/12/2021","00:38:00",374822.509062028,5435463.1451466
"641","29/12/2021","00:39:00",374822.509062028,5435463.1451466
"642","29/12/2021","00:39:00",374822.509062028,5435463.1451466
"643","29/12/2021","00:40:00",374822.509062028,5435463.1451466
"644","03/01/2022","19:00:00",394402.620044986,5421903.16811158
"645","03/01/2022","19:00:00",394402.620044986,5421903.16811158
"646","03/01/2022","19:00:00",394402.620044986,5421903.16811158
"647","03/01/2022","19:00:00",394402.620044986,5421903.16811158
"648","03/01/2022",NA,377324.08053259,5431291.1573917
"649","04/01/2022",NA,380075.525479764,5420704.9310303
"650","05/01/2022",NA,386587.102734753,5417480.28695703
"651","06/01/2022",NA,376334.461286853,5432995.80629664
"652","06/01/2022",NA,376334.461286853,5432995.80629664
"653","07/01/2022",NA,377712.285280927,5421539.28409402
"654","07/01/2022",NA,381599.347423515,5429452.25412972
"655","07/01/2022",NA,381599.347423515,5429452.25412972
"656","08/01/2022",NA,375972.370396703,5434753.30705238
"657","09/01/2022",NA,377110.072021577,5431997.65294802
"658","10/01/2022","00:35:00",377873.524686315,5431098.86767179
"659","10/01/2022","00:35:00",377873.524686315,5431098.86767179
"660","10/01/2022","16:55:00",369580.788122275,5438858.41575969
"661","10/01/2022",NA,377345.821902251,5431315.1435393
"662","10/01/2022",NA,369536.253567684,5438859.46556333
"663","11/01/2022","00:58:00",383016.212826358,5422555.10649709
"664","11/01/2022","00:58:00",383016.212826358,5422555.10649709
"665","11/01/2022","00:58:00",383016.212826358,5422555.10649709
"666","11/01/2022","00:58:00",383016.212826358,5422555.10649709
"667","11/01/2022","00:58:00",383016.212826358,5422555.10649709
"668","11/01/2022","20:30:00",371561.883994406,5436404.62734334
"669","11/01/2022","20:30:00",371561.883994406,5436404.62734334
"670","11/01/2022","20:30:00",371561.883994406,5436404.62734334
"671","11/01/2022","20:30:00",371561.883994406,5436404.62734334
"672","11/01/2022",NA,386587.102734753,5417480.28695703
"673","11/01/2022",NA,374231.26440164,5435239.64588206
"674","12/01/2022",NA,381599.347423515,5429452.25412972
"675","13/01/2022","00:31:00",373762.20259802,5436370.27088822
