# ;Datum;Zeit;Breitengrad_wgs;Laengengrad_wgs
168;31/01/2021;NA:NA;48.883957;13.524398
169;01/04/2020;20:48;49.013134;13.357939
170;07/05/2020;09:20;49.059161;13.286478
171;01/06/2020;21:15;49.028492;13.336418
172;16/06/2020;21:35;49.027661;13.329628
173;16/06/2020;22:00;49.027661;13.329628
174;19/06/2020;21:25;49.022393;13.319013
175;28/06/2020;21:25;49.022393;13.319013
176;29/06/2020;23:16;49.027546;13.337788
178;03/07/2020;21:45;49.022393;13.319013
179;08/07/2020;21:45;49.01464;13.191319
180;08/07/2020;22:22;49.01464;13.191319
181;12/07/2020;22:05;49.057295;13.306201
182;17/07/2020;22:50;48.595689;13.22085
183;17/07/2020;22:50;48.595689;13.22085
184;17/07/2020;22:50;48.595689;13.22085
185;17/07/2020;22:50;48.595689;13.22085
186;17/07/2020;22:50;48.595689;13.22085
187;17/07/2020;22:50;48.595689;13.22085
188;17/07/2020;22:50;48.595689;13.22085
189;17/07/2020;22:50;48.595689;13.22085
190;17/07/2020;22:50;48.595689;13.22085
191;17/07/2020;22:50;48.595689;13.22085
192;01/08/2020;21:55;49.061273;13.254992
193;01/08/2020;22:05;49.035491;13.312097
194;02/08/2020;20:10;48.996056;13.373113
196;07/08/2020;21:10;49.040612;13.303146
197;08/08/2020;07:15;49.028309;13.33723
198;10/08/2020;21:15;49.056193;13.262979
199;17/08/2020;21:00;49.056193;13.262979
200;17/08/2020;21:00;49.056193;13.262979
201;19/08/2020;20:05;48.982899;13.367661
202;19/08/2020;21:20;48.990341;13.365714
203;26/08/2020;20:25;49.070601;13.2509
204;26/08/2020;20:30;49.070601;13.250909
205;26/08/2020;21:00;49.066623;13.271492
206;30/08/2020;21:00;49.039298;13.301425
207;06/09/2020;19:50;49.08113;13.23645
208;06/09/2020;19:45;49.08113;13.23645
209;06/09/2020;22:45;49.064155;13.25685
210;06/09/2020;22:45;49.064155;13.25685
211;11/09/2020;23:45;49.084218;13.230642
212;15/09/2020;19:30;49.039552;13.303436
213;15/09/2020;19:30;49.039552;13.303436
214;NA;20:00;48.989238;13.370887
215;16/09/2020;13:00;49.085481;13.306908
216;18/09/2020;20:30;49.081426;13.236154
217;22/09/2020;23:55;49.064155;13.25685
218;22/09/2020;23:55;49.064155;13.25685
219;27/09/2020;07:20;48.996056;13.373113
220;27/09/2020;07:35;48.996056;13.373113
221;29/09/2020;19:00;49.021718;13.318593
222;01/10/2020;19:20;49.039552;13.303436
223;02/10/2020;20:00;49.08113;13.23645
224;03/10/2020;19:15;49.065762;13.256648
225;05/10/2020;20:15;49.081426;13.236154
226;08/10/2020;19:00;49.059134;13.318759
227;08/10/2020;18:50;49.059134;13.318759
228;11/10/2020;19:35;49.059134;13.318759
229;11/10/2020;19:35;49.059134;13.318759
230;16/10/2020;19:20;49.08113;13.23645
231;27/10/2020;456:00:00;49.083707;13.213856
232;29/10/2020;17:10;49.035592;13.342744
233;29/10/2020;17:10;49.035592;13.342744
234;02/11/2020;17:15;49.08113;13.23645
235;02/11/2020;17:14;49.08113;13.23645
236;02/11/2020;17:20;49.080584;13.251984
237;02/11/2020;17:30;49.039552;13.303436
238;02/11/2020;17:30;49.039552;13.303436
239;03/11/2020;16:45;49.010573;13.366878
240;03/11/2020;16:45;49.010573;13.366878
241;06/11/2020;17:15;49.090833;13.223056
242;07/11/2020;17:20;49.081111;13.236667
243;08/11/2020;16:15;49.071072;13.220484
244;08/11/2020;16:15;49.071072;13.220484
245;08/11/2020;16:15;49.071072;13.220484
246;17/11/2020;08:00;49.02129;13.32848
247;17/11/2020;08:00;49.02129;13.32848
248;17/11/2020;08:00;49.02129;13.32848
249;17/11/2020;08:00;49.02129;13.32848
250;17/11/2020;08:05;49.02129;13.32848
251;17/11/2020;08:05;49.02129;13.32848
252;17/11/2020;17:15;49.049863;13.324657
253;17/11/2020;17:05;49.038609;13.303113
254;18/11/2020;17:05;49.012459;13.581989
255;18/11/2020;17:05;49.012459;13.581989
256;24/11/2020;17:10;49.049863;13.324657
257;25/11/2020;NA;49.060696;13.286243
258;25/11/2020;17:35;49.012459;13.581989
259;26/11/2020;17:15;49.066831;13.271653
260;29/11/2020;07:15;49.02129;13.32848
261;02/12/2020;16:45;49.0378;13.3347
262;02/12/2020;17:00;49.0368;13.3091
263;02/12/2020;16:50;49.0069;13.3642
264;02/12/2020;16:50;49.0069;13.3642
265;02/12/2020;16:50;49.0069;13.3642
266;04/12/2020;19:40;49.066831;13.271653
267;06/12/2020;07:30;49.02129;13.32848
268;10/12/2020;10:45;49.0069;13.3642
269;11/12/2020;16:45;49.091655;13.246749
270;11/12/2020;16:45;49.091655;13.246749
271;11/12/2020;17:05;49.084219;13.230642
272;11/12/2020;17:05;49.084219;13.230642
273;12/12/2020;17:15;49.080973;13.236297
274;13/12/2020;17:05;49.0378;13.3347
275;19/12/2020;17:00;49.034208;13.336164
276;19/12/2020;17:00;49.034208;13.336164
277;20/12/2020;17:00;49.080973;13.236297
278;27/12/2020;17:45;49.066831;13.271653
279;30/12/2020;09:15;49.025265;13.332163
280;30/12/2020;09:15;49.025265;13.332163
281;29/12/2020;17:05;49.050281;13.324987
282;27/12/2020;17:25;49.017903;13.325683
283;27/12/2021;17:15;49.017903;13.325683
284;02/01/2021;17:30;49.07731;13.370466
285;02/01/2021;17:30;49.07731;13.370466
286;02/01/2021;17:18;49.055306;13.298578
287;02/01/2021;17:40;49.0432;13.3086
289;02/01/2021;08:30;49.059086;13.286588
290;05/01/2021;16:30;49.0134;13.3598
291;08/01/2021;17:00;49.078888;13.251944
292;08/01/2021;17:10;49.0207;13.3182
293;08/01/2021;16:00;49.078611;13.236389
294;08/01/2021;16:00;49.078611;13.236389
295;10/01/2021;16:50;49.0177;13.3245
296;08/01/2021;16:00;49.078611;13.236389
297;08/01/2021;NA:NA;49.087778;13.255556
298;07/01/2021;17:12;49.066831;13.271653
299;10/01/2021;17:50;49.066831;13.271653
300;11/01/2021;08:45;49.0259;13.3324
301;11/01/2021;08:45;49.0259;13.3324
302;11/01/2021;08:45;49.0259;13.3324
303;11/01/2021;17:00;49.036;13.3473
304;11/01/2021;17:15;49.036;13.3473
305;11/01/2021;17:00;49.0338;13.3208
306;16/01/2021;17:45;49.0338;13.3208
307;16/01/2021;17:30;49.037;13.3213
308;16/01/2021;17:30;49.037;13.3213
309;17/01/2021;17:48;49.0811;13.2376
310;17/01/2021;17:48;49.0811;13.2376
311;17/01/2021;20:15;49.06755;13.240565
312;18/01/2021;18:05;49.057397;13.277521
313;21/01/2021;18:10;49.08956;13.213
314;21/01/2021;18:10;49.049777;13.315874
